Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Mikrokosmos,BTS,M,224225.0,8.0,1.0,3.0,0.125,0.58,0.858,0.0,0.0502,-5.212,0.114,0.475,174.039,75.0
Make It Right,BTS,M,226321.0,7.0,1.0,4.0,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,0.261,105.766,73.0
HOME,BTS,M,234178.0,7.0,0.0,4.0,0.0142,0.633,0.799,0.0,0.194,-4.625,0.0429,0.535,142.991,74.0
Jamais Vu,BTS,M,227275.0,8.0,1.0,4.0,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,0.241,81.0,70.0
Dionysus,BTS,M,249215.0,7.0,1.0,4.0,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,0.588,176.084,73.0
Euphoria,BTS,M,228615.0,2.0,1.0,4.0,0.394,0.637,0.799,0.0,0.0921,-4.519,0.0338,0.562,104.995,77.0
Trivia 起 : Just Dance,BTS,M,225221.0,1.0,0.0,4.0,0.0907,0.723,0.906,0.0,0.0771,-4.778,0.279,0.398,125.019,66.0
Serendipity (Full Length Edition),BTS,M,276708.0,8.0,1.0,5.0,0.445,0.347,0.578,0.0,0.231,-7.525,0.0626,0.226,86.73,74.0
DNA,BTS,M,223123.0,1.0,0.0,4.0,0.0223,0.599,0.774,0.0,0.0669,-4.014,0.0541,0.696,129.819,73.0
Dimple,BTS,M,196776.0,5.0,0.0,4.0,0.142,0.612,0.844,0.0,0.287,-4.694,0.0756,0.653,134.868,70.0
Trivia 承 : Love,BTS,M,225698.0,5.0,0.0,4.0,0.246,0.761,0.761,0.0,0.103,-5.721,0.0897,0.483,121.972,65.0
Her,BTS,M,228613.0,3.0,1.0,4.0,0.317,0.481,0.927,0.0,0.0583,-5.704,0.27,0.448,88.931,60.0
Singularity,BTS,M,196998.0,1.0,0.0,3.0,0.554,0.775,0.271,0.00285,0.112,-9.131,0.092,0.204,104.001,70.0
FAKE LOVE,BTS,M,242334.0,2.0,0.0,4.0,0.00267,0.557,0.719,0.0,0.306,-4.515,0.0372,0.344,77.501,72.0
The Truth Untold,BTS,M,242293.0,1.0,0.0,4.0,0.372,0.57,0.422,0.0,0.127,-7.561,0.0422,0.169,113.007,70.0
Trivia 轉 : Seesaw,BTS,M,246334.0,5.0,0.0,4.0,0.181,0.707,0.791,0.0,0.102,-4.481,0.035,0.678,106.985,72.0
Tear,BTS,M,284981.0,6.0,0.0,4.0,0.327,0.711,0.903,0.0,0.0887,-2.723,0.247,0.467,140.015,66.0
Epiphany,BTS,M,240362.0,2.0,0.0,4.0,0.29,0.509,0.558,0.0,0.131,-6.369,0.0276,0.327,135.879,73.0
I'm Fine,BTS,M,240339.0,11.0,0.0,4.0,0.00852,0.51,0.842,0.0,0.346,-2.782,0.103,0.302,87.605,71.0
IDOL,BTS,M,222732.0,9.0,1.0,4.0,0.00481,0.734,0.855,0.0,0.123,-3.211,0.118,0.422,126.035,75.0
Answer : Love Myself,BTS,M,251280.0,1.0,1.0,4.0,0.189,0.569,0.793,0.0,0.111,-3.749,0.0405,0.45,108.048,71.0
Magic Shop,BTS,M,275696.0,1.0,1.0,4.0,0.103,0.541,0.661,0.0,0.0779,-5.838,0.0889,0.285,149.926,71.0
Best Of Me,BTS,M,227191.0,8.0,1.0,4.0,0.0298,0.651,0.756,0.0,0.396,-4.388,0.0762,0.473,121.96,70.0
Airplane pt.2,BTS,M,218615.0,0.0,0.0,4.0,0.0268,0.769,0.817,9.95e-05,0.084,-4.092,0.0339,0.866,139.979,70.0
Go Go,BTS,M,235780.0,10.0,0.0,4.0,0.171,0.856,0.617,0.0,0.0857,-5.308,0.0841,0.759,136.082,71.0
Anpanman,BTS,M,232966.0,1.0,0.0,4.0,0.0237,0.813,0.875,0.0,0.288,-2.92,0.0918,0.756,99.004,71.0
MIC Drop,BTS,M,238193.0,6.0,1.0,4.0,0.00912,0.667,0.889,0.0,0.0816,-4.851,0.0918,0.541,169.959,64.0
DNA (Pedal 2 LA Mix),BTS,M,247483.0,1.0,0.0,4.0,0.0352,0.488,0.955,0.0,0.301,-3.44,0.134,0.48,129.972,56.0
FAKE LOVE (Rocking Vibe Mix),BTS,M,238494.0,2.0,0.0,4.0,0.0573,0.463,0.804,0.0,0.432,-4.009,0.0391,0.352,154.913,60.0
IDOL,BTS,M,260234.0,9.0,1.0,4.0,0.00219,0.709,0.857,0.0,0.103,-3.394,0.0881,0.446,126.038,69.0
Intro: Singularity,BTS,M,196998.0,1.0,0.0,3.0,0.554,0.775,0.271,0.00285,0.112,-9.131,0.092,0.204,104.001,66.0
FAKE LOVE,BTS,M,242334.0,2.0,0.0,4.0,0.00267,0.557,0.719,0.0,0.306,-4.515,0.0372,0.344,77.501,74.0
The Truth Untold,BTS,M,242293.0,1.0,0.0,4.0,0.372,0.57,0.422,0.0,0.127,-7.561,0.0422,0.169,113.007,71.0
134340,BTS,M,230063.0,11.0,0.0,4.0,0.153,0.664,0.688,9.14e-05,0.173,-6.466,0.0543,0.65,106.022,65.0
Paradise,BTS,M,211224.0,5.0,1.0,4.0,0.214,0.519,0.828,0.0,0.0571,-5.523,0.365,0.929,139.413,67.0
Love Maze,BTS,M,221529.0,9.0,1.0,4.0,0.0487,0.636,0.876,0.0,0.0728,-4.652,0.0617,0.759,149.932,71.0
Magic Shop,BTS,M,275696.0,1.0,1.0,4.0,0.103,0.541,0.661,0.0,0.0779,-5.838,0.0889,0.285,149.926,67.0
Airplane pt.2,BTS,M,218615.0,0.0,0.0,4.0,0.0268,0.769,0.817,9.95e-05,0.084,-4.092,0.0339,0.866,139.979,67.0
Anpanman,BTS,M,232966.0,1.0,0.0,4.0,0.0237,0.813,0.875,0.0,0.288,-2.92,0.0918,0.756,99.004,67.0
So What,BTS,M,281521.0,9.0,0.0,4.0,0.0238,0.656,0.883,0.0,0.0481,-4.294,0.0737,0.46,129.947,70.0
Outro: Tear,BTS,M,284981.0,6.0,0.0,4.0,0.327,0.711,0.903,0.0,0.0887,-2.723,0.247,0.467,140.015,63.0
INTRO : Ringwanderung,BTS,M,86053.0,10.0,0.0,4.0,0.552,0.589,0.824,0.0275,0.133,-6.402,0.26,0.207,115.3,54.0
Best Of Me - Japanese ver.,BTS,M,227920.0,0.0,0.0,4.0,0.0366,0.659,0.769,0.0,0.405,-4.262,0.0831,0.398,122.006,51.0
血、汗、涙 - Japanese ver.,BTS,M,216707.0,0.0,0.0,4.0,0.0704,0.61,0.892,0.0,0.315,-3.52,0.108,0.576,93.039,52.0
DNA - Japanese ver.,BTS,M,223707.0,1.0,0.0,4.0,0.00335,0.574,0.761,0.0,0.0645,-3.579,0.0849,0.597,129.817,52.0
Not Today - Japanese ver.,BTS,M,233880.0,0.0,0.0,4.0,0.00191,0.598,0.938,0.0,0.88,-4.068,0.143,0.672,110.021,49.0
MIC Drop - Japanese ver.,BTS,M,238227.0,3.0,0.0,4.0,0.0136,0.664,0.913,0.0,0.1,-4.474,0.148,0.622,169.974,50.0
Don't Leave Me,BTS,M,227413.0,8.0,0.0,4.0,0.116,0.62,0.778,0.0,0.312,-4.622,0.0724,0.386,147.012,69.0
Go Go - Japanese ver.,BTS,M,237307.0,10.0,0.0,4.0,0.222,0.837,0.69,0.0,0.0833,-4.705,0.088,0.847,136.07,50.0
Spring Day - Japanese ver.,BTS,M,276840.0,8.0,1.0,4.0,0.104,0.572,0.825,0.0,0.085,-4.383,0.037,0.424,106.976,52.0
Let Go,BTS,M,299707.0,4.0,1.0,4.0,0.17,0.558,0.863,0.0,0.289,-3.53,0.178,0.388,173.908,70.0
OUTRO : Crack,BTS,M,74747.0,2.0,1.0,4.0,0.864,0.729,0.386,0.574,0.114,-5.623,0.382,0.0567,90.138,54.0
Introduction : Youth,BTS,M,138973.0,6.0,0.0,4.0,0.00148,0.563,0.909,0.0028,0.364,-5.321,0.086,0.547,87.01,48.0
Run - Japanese Ver.,BTS,M,237920.0,11.0,0.0,4.0,0.000741,0.531,0.863,0.000119,0.21,-3.499,0.0411,0.551,132.982,43.0
Fire - Japanese Ver.,BTS,M,205373.0,3.0,0.0,4.0,0.00359,0.651,0.714,0.0,0.125,-2.977,0.0699,0.508,99.999,47.0
Dope - Chou Yabee! - Japanese Ver.,BTS,M,241973.0,10.0,0.0,4.0,0.0285,0.579,0.897,0.0,0.43,-3.566,0.212,0.545,154.002,42.0
Good Day,BTS,M,267507.0,6.0,1.0,4.0,0.0106,0.611,0.89,0.0,0.075,-3.711,0.0451,0.665,94.956,54.0
Save Me - Japanese Ver.,BTS,M,199667.0,1.0,1.0,4.0,0.0498,0.623,0.804,0.0,0.0903,-3.705,0.0735,0.394,140.077,43.0
Funtan Syounendan - Japanese Ver.,BTS,M,245880.0,1.0,1.0,4.0,0.0537,0.69,0.962,0.0,0.347,-3.66,0.199,0.77,116.029,41.0
Peppuse - Japanese Ver.,BTS,M,236293.0,9.0,1.0,4.0,0.000955,0.669,0.885,0.0,0.0398,-3.622,0.118,0.544,166.967,41.0
Wishing On A Star,BTS,M,271760.0,8.0,1.0,4.0,0.0168,0.543,0.832,0.0,0.0398,-4.717,0.209,0.636,179.963,52.0
Butterfly - Japanese Ver.,BTS,M,240680.0,1.0,1.0,4.0,0.025,0.319,0.785,0.0,0.074,-4.549,0.0674,0.231,149.027,42.0
For You,BTS,M,284587.0,4.0,1.0,4.0,0.44,0.548,0.809,0.0,0.102,-4.533,0.185,0.574,165.892,58.0
I Need U - Japanese Ver.,BTS,M,212200.0,5.0,0.0,4.0,0.0147,0.497,0.866,0.0,0.161,-4.02,0.0681,0.732,158.049,43.0
Epilogue : Young Forever - Japanese Ver.,BTS,M,173347.0,5.0,0.0,4.0,0.0221,0.461,0.76,0.0,0.104,-4.299,0.236,0.349,87.434,43.0
Intro: Serendipity,BTS,M,139972.0,8.0,1.0,4.0,0.523,0.476,0.581,0.0,0.201,-8.795,0.12,0.282,129.568,64.0
DNA,BTS,M,223123.0,1.0,0.0,4.0,0.022,0.598,0.775,0.0,0.0677,-4.035,0.0545,0.687,129.819,72.0
Best Of Me,BTS,M,227191.0,8.0,1.0,4.0,0.0298,0.651,0.756,0.0,0.396,-4.388,0.0762,0.473,121.96,64.0
dimple,BTS,M,196776.0,5.0,0.0,4.0,0.142,0.612,0.844,0.0,0.287,-4.694,0.0756,0.653,134.868,65.0
Pied Piper,BTS,M,245621.0,2.0,0.0,4.0,0.2,0.583,0.712,0.0,0.268,-4.942,0.0326,0.776,94.051,73.0
Skit: Billboard Music Awards Speech,BTS,M,107062.0,0.0,0.0,3.0,0.38,0.252,0.694,0.000203,0.66,-15.389,0.429,0.325,87.293,49.0
MIC Drop,BTS,M,238193.0,6.0,1.0,4.0,0.00912,0.667,0.889,0.0,0.0816,-4.851,0.0918,0.541,169.959,64.0
Go Go,BTS,M,235780.0,10.0,0.0,4.0,0.171,0.856,0.617,0.0,0.0857,-5.308,0.0841,0.759,136.082,66.0
Outro: Her,BTS,M,228613.0,3.0,1.0,4.0,0.317,0.481,0.927,0.0,0.0583,-5.704,0.27,0.448,88.931,58.0
Intro: Boy Meets Evil,BTS,M,121773.0,5.0,0.0,4.0,0.0212,0.573,0.89,0.0,0.132,-3.53,0.214,0.242,130.254,23.0
Blood Sweat & Tears,BTS,M,217053.0,0.0,0.0,4.0,0.0262,0.577,0.894,0.0,0.354,-3.554,0.122,0.573,93.028,32.0
Begin,BTS,M,229733.0,9.0,0.0,4.0,0.00347,0.578,0.839,0.000427,0.143,-5.268,0.0433,0.275,130.966,29.0
Lie,BTS,M,215760.0,6.0,0.0,3.0,0.00279,0.54,0.784,0.0,0.195,-5.617,0.0344,0.485,94.081,28.0
Stigma,BTS,M,216053.0,0.0,0.0,4.0,0.157,0.521,0.483,0.0,0.152,-5.564,0.0982,0.321,136.042,28.0
First Love,BTS,M,189800.0,8.0,0.0,4.0,0.352,0.565,0.732,0.0,0.166,-6.04,0.341,0.675,87.326,24.0
Reflection,BTS,M,233920.0,2.0,1.0,4.0,0.0131,0.517,0.615,2.14e-06,0.175,-7.989,0.129,0.282,148.032,22.0
Mama,BTS,M,212267.0,5.0,0.0,4.0,0.000275,0.543,0.738,9.84e-06,0.0816,-4.843,0.212,0.45,185.998,26.0
Awake,BTS,M,226173.0,5.0,0.0,4.0,0.019,0.46,0.487,1.93e-06,0.275,-6.586,0.0316,0.332,72.23,28.0
Lost,BTS,M,241787.0,0.0,1.0,4.0,0.00044,0.541,0.838,0.0,0.0602,-4.19,0.0552,0.454,85.024,32.0
BTS Cypher 4,BTS,M,294453.0,1.0,0.0,4.0,0.00555,0.814,0.79,1.2e-05,0.0539,-4.408,0.0814,0.401,119.982,25.0
Am I Wrong,BTS,M,213080.0,6.0,1.0,4.0,0.00132,0.759,0.84,2.04e-05,0.088,-5.005,0.0494,0.683,108.011,27.0
21st Century Girl,BTS,M,192600.0,2.0,1.0,4.0,0.00345,0.717,0.907,0.0,0.0544,-3.549,0.064,0.783,101.03,30.0
2! 3!,BTS,M,272547.0,7.0,1.0,4.0,0.0262,0.446,0.928,0.0,0.103,-4.085,0.251,0.611,169.906,31.0
Spring Day,BTS,M,274093.0,8.0,1.0,4.0,0.00672,0.539,0.846,1.46e-06,0.131,-3.188,0.0358,0.461,106.988,54.0
Not Today,BTS,M,231853.0,8.0,1.0,4.0,0.00215,0.595,0.939,0.0,0.935,-3.413,0.141,0.653,110.04,51.0
Outro: Wings,BTS,M,225453.0,11.0,0.0,4.0,0.0052,0.656,0.9,0.0,0.0856,-3.098,0.106,0.645,124.976,48.0
A Supplementary Story: You Never Walk Alone,BTS,M,156053.0,8.0,1.0,4.0,0.00506,0.698,0.901,0.0,0.0729,-4.702,0.148,0.554,127.995,40.0
Intro: Boy Meets Evil,BTS,M,121771.0,5.0,0.0,4.0,0.0212,0.573,0.89,0.0,0.132,-3.53,0.214,0.242,130.254,55.0
Blood Sweat & Tears,BTS,M,217052.0,0.0,0.0,4.0,0.0244,0.583,0.885,0.0,0.357,-3.571,0.106,0.601,92.959,60.0
Begin,BTS,M,229740.0,9.0,0.0,4.0,0.00361,0.566,0.844,0.000257,0.141,-5.222,0.0444,0.291,131.049,56.0
