Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
PIT-A-PAT,TWICE,F,207507.0,7.0,1.0,4.0,0.114,0.741,0.885,0.000149,0.293,-2.475,0.127,0.587,89.008,28.0
NEXT PAGE,TWICE,F,175947.0,8.0,1.0,4.0,0.0102,0.685,0.801,7.24e-05,0.655,-4.334,0.0448,0.68,93.008,26.0
ONE IN A MILLION,TWICE,F,175256.0,11.0,1.0,4.0,0.146,0.599,0.732,0.0,0.204,-2.468,0.0324,0.424,89.87,33.0
KNOCK KNOCK,TWICE,F,195753.0,1.0,0.0,4.0,0.0242,0.673,0.968,0.0,0.0586,-2.636,0.131,0.476,129.972,50.0
Ice Cream,TWICE,F,232067.0,5.0,0.0,4.0,0.475,0.654,0.564,0.0,0.114,-6.438,0.0366,0.229,123.944,42.0
TT,TWICE,F,212991.0,2.0,1.0,4.0,0.0525,0.708,0.853,0.000173,0.399,-4.398,0.0844,0.399,129.946,53.0
1 TO 10,TWICE,F,175200.0,1.0,0.0,4.0,0.12,0.621,0.829,0.0,0.16,-3.484,0.232,0.742,88.428,43.0
PONYTAIL,TWICE,F,206187.0,6.0,1.0,4.0,0.17,0.516,0.955,0.0,0.751,-1.133,0.0529,0.827,161.905,26.0
JELLY JELLY,TWICE,F,210627.0,9.0,1.0,4.0,0.111,0.703,0.891,4.73e-06,0.343,-1.282,0.124,0.855,163.929,44.0
PIT-A-PAT,TWICE,F,207507.0,7.0,1.0,4.0,0.114,0.741,0.885,0.000149,0.293,-2.475,0.127,0.587,89.008,32.0
NEXT PAGE,TWICE,F,175947.0,8.0,1.0,4.0,0.0102,0.685,0.801,7.24e-05,0.655,-4.334,0.0448,0.68,93.008,29.0
ONE IN A MILLION,TWICE,F,175256.0,11.0,1.0,4.0,0.146,0.599,0.732,0.0,0.204,-2.468,0.0324,0.424,89.87,47.0
All Day All Night,SHINee,M,199958.0,1.0,0.0,4.0,0.091,0.631,0.832,0.0,0.109,-4.349,0.0856,0.628,130.022,40.0
Countless,SHINee,M,188678.0,10.0,0.0,4.0,0.0251,0.679,0.829,0.0,0.068,-5.166,0.072,0.604,97.043,51.0
Good Evening,SHINee,M,223515.0,8.0,1.0,4.0,0.0383,0.678,0.809,0.0,0.243,-4.162,0.0598,0.561,119.979,55.0
Chemistry,SHINee,M,216220.0,6.0,1.0,4.0,0.134,0.418,0.797,0.0,0.122,-3.811,0.204,0.484,88.096,38.0
Electric,SHINee,M,203903.0,6.0,0.0,4.0,0.171,0.722,0.643,0.0,0.229,-4.243,0.12,0.721,105.906,36.0
Who Waits For Love,SHINee,M,231178.0,5.0,1.0,4.0,0.0955,0.367,0.761,0.0,0.0886,-4.249,0.117,0.344,92.927,41.0
Our Page,SHINee,M,239721.0,5.0,0.0,4.0,0.295,0.674,0.752,0.0,0.164,-4.657,0.0326,0.348,107.021,47.0
I Say,SHINee,M,190419.0,4.0,1.0,3.0,0.782,0.314,0.368,0.0,0.102,-6.416,0.0313,0.29,99.583,36.0
Retro,SHINee,M,185144.0,1.0,0.0,4.0,0.0556,0.576,0.782,0.0,0.0638,-5.762,0.19,0.73,91.27,35.0
Drive,SHINee,M,188739.0,0.0,0.0,4.0,0.0608,0.774,0.735,0.0,0.128,-4.141,0.174,0.769,109.984,34.0
I Want You,SHINee,M,184798.0,4.0,1.0,4.0,0.101,0.719,0.733,0.0,0.27,-4.147,0.0861,0.514,123.058,50.0
Undercover,SHINee,M,190556.0,0.0,0.0,4.0,0.118,0.75,0.612,0.0,0.0494,-5.764,0.142,0.83,127.795,36.0
JUMP,SHINee,M,224217.0,0.0,1.0,4.0,0.052,0.814,0.64,0.0,0.0865,-5.898,0.0668,0.603,122.043,35.0
Tonight,SHINee,M,231307.0,0.0,1.0,4.0,0.302,0.626,0.715,0.0,0.185,-5.774,0.0468,0.569,139.977,35.0
You & I,SHINee,M,184366.0,0.0,0.0,4.0,0.266,0.612,0.543,0.0,0.105,-7.315,0.0769,0.231,83.967,38.0
Lock You Down - Special Track,SHINee,M,197779.0,1.0,1.0,4.0,0.314,0.769,0.769,0.0,0.206,-4.49,0.123,0.873,119.967,35.0
Replay -君は僕のeverything-,SHINee,M,215627.0,1.0,1.0,4.0,0.2,0.734,0.63,3.58e-06,0.0909,-5.823,0.0777,0.555,99.967,30.0
JULIETTE,SHINee,M,206573.0,11.0,0.0,4.0,0.15,0.678,0.912,0.0,0.203,-3.196,0.102,0.713,109.006,29.0
LUCIFER,SHINee,M,235693.0,11.0,0.0,4.0,0.0212,0.794,0.877,0.0,0.0634,-3.012,0.0462,0.864,125.036,31.0
Sherlock - Japanese ver.,SHINee,M,239747.0,5.0,0.0,4.0,0.0338,0.66,0.931,0.0,0.369,-2.751,0.0928,0.358,106.968,26.0
Dazzling Girl,SHINee,M,211733.0,11.0,1.0,4.0,0.0555,0.67,0.903,0.0,0.697,-2.629,0.0364,0.765,129.967,29.0
1000年、ずっとそばにいて...,SHINee,M,254040.0,1.0,0.0,4.0,0.0573,0.6,0.884,0.0,0.346,-3.152,0.0446,0.402,109.986,30.0
Fire,SHINee,M,213013.0,8.0,1.0,4.0,0.205,0.449,0.85,0.0,0.148,-3.996,0.0429,0.614,168.066,28.0
Breaking News,SHINee,M,218720.0,3.0,0.0,4.0,0.00886,0.623,0.959,0.0,0.0947,-3.405,0.112,0.608,123.995,27.0
Boys Meet U,SHINee,M,166827.0,11.0,0.0,4.0,0.132,0.805,0.735,0.0,0.212,-3.0,0.0576,0.965,117.954,29.0
3 2 1,SHINee,M,213747.0,0.0,0.0,4.0,0.00402,0.609,0.903,0.0,0.304,-3.124,0.0451,0.894,147.987,28.0
Everybody - Japanese ver.,SHINee,M,251320.0,0.0,0.0,4.0,0.00831,0.634,0.908,0.0,0.101,-3.851,0.0781,0.718,125.927,26.0
LUCKY STAR,SHINee,M,203347.0,8.0,1.0,4.0,0.0545,0.709,0.941,0.0,0.174,-2.857,0.0659,0.962,119.977,27.0
Downtown Baby,SHINee,M,235293.0,9.0,0.0,4.0,0.0166,0.58,0.956,0.0,0.344,-2.985,0.125,0.704,130.91,26.0
Your Number,SHINee,M,260013.0,0.0,0.0,4.0,0.0145,0.707,0.908,0.0,0.0708,-3.659,0.127,0.764,100.986,30.0
Sing Your Song,SHINee,M,244880.0,0.0,1.0,4.0,0.192,0.625,0.795,0.0,0.0718,-3.937,0.0542,0.801,75.04,28.0
D×D×D,SHINee,M,207080.0,7.0,1.0,4.0,0.00775,0.746,0.798,0.0,0.0857,-3.908,0.0605,0.826,127.992,25.0
君のせいで,SHINee,M,256747.0,7.0,0.0,4.0,4.81e-05,0.601,0.871,0.000156,0.256,-5.392,0.0435,0.629,107.962,27.0
Winter Wonderland,SHINee,M,250200.0,8.0,1.0,4.0,0.183,0.471,0.752,0.0,0.154,-3.836,0.0336,0.461,158.099,28.0
Get The Treasure,SHINee,M,224227.0,11.0,0.0,4.0,0.0668,0.674,0.899,0.0,0.156,-2.963,0.0639,0.962,114.991,28.0
From Now On,SHINee,M,284587.0,2.0,1.0,4.0,0.161,0.351,0.384,0.0,0.217,-7.545,0.0306,0.358,135.49,46.0
Gentleman,SHINee,M,170280.0,7.0,0.0,4.0,0.0916,0.693,0.832,0.0,0.276,-3.683,0.0759,0.748,98.057,26.0
Mr. Right Guy,SHINee,M,200347.0,5.0,0.0,4.0,0.00672,0.747,0.914,2.47e-06,0.544,-3.695,0.207,0.723,115.054,26.0
ABOAB,SHINee,M,226667.0,3.0,0.0,4.0,0.00178,0.668,0.946,0.0,0.945,-3.696,0.0634,0.557,124.039,27.0
君のせいで,SHINee,M,255800.0,7.0,0.0,4.0,0.000682,0.554,0.914,0.0,0.312,-4.364,0.0517,0.704,107.932,30.0
Do Me Right,SHINee,M,222547.0,9.0,0.0,4.0,0.0673,0.508,0.914,0.0,0.112,-3.713,0.17,0.635,200.321,27.0
Become Undone,SHINee,M,197373.0,0.0,0.0,4.0,0.0146,0.594,0.907,0.0,0.579,-4.085,0.0524,0.587,164.031,28.0
Get The Treasure,SHINee,M,222080.0,6.0,0.0,4.0,0.0617,0.65,0.904,0.0,0.111,-3.198,0.0685,0.961,114.966,32.0
1 of 1 - Japanese Ver.,SHINee,M,205680.0,5.0,0.0,4.0,0.224,0.705,0.892,0.0,0.0416,-3.752,0.0657,0.891,108.017,26.0
Nothing To Lose,SHINee,M,182747.0,2.0,1.0,4.0,0.0328,0.57,0.919,0.0,0.172,-3.11,0.0791,0.77,110.016,23.0
Melody,SHINee,M,253987.0,5.0,1.0,4.0,0.0665,0.597,0.725,0.0,0.127,-5.461,0.0364,0.391,120.045,28.0
Winter Wonderland,SHINee,M,248133.0,8.0,1.0,4.0,0.156,0.464,0.722,0.0,0.18,-4.513,0.0335,0.452,158.062,29.0
Diamond Sky,SHINee,M,252733.0,10.0,0.0,4.0,0.0557,0.55,0.807,0.0,0.0849,-4.751,0.0495,0.422,127.982,39.0
Tell Me What To Do,SHINee,M,246787.0,7.0,1.0,4.0,0.102,0.602,0.926,0.0,0.317,-1.78,0.177,0.288,125.107,52.0
별빛 바램 Wish Upon a Star,SHINee,M,254373.0,11.0,1.0,4.0,0.871,0.286,0.277,6.52e-06,0.129,-8.862,0.0322,0.155,133.638,30.0
한마디 Beautiful Life,SHINee,M,265760.0,11.0,0.0,4.0,0.387,0.563,0.66,7.71e-06,0.141,-6.128,0.0471,0.55,92.071,33.0
Rescue,SHINee,M,200267.0,10.0,0.0,4.0,0.000606,0.71,0.671,0.0,0.127,-5.743,0.0484,0.424,99.97,30.0
If You Love Her,SHINee,M,249587.0,7.0,0.0,4.0,0.895,0.596,0.327,0.0,0.141,-7.329,0.0253,0.44,96.068,34.0
Tell Me What To Do - Instrumental,SHINee,M,244467.0,4.0,0.0,4.0,0.0421,0.631,0.902,0.799,0.189,-4.212,0.0353,0.0891,124.999,23.0
별빛 바램 Wish Upon a Star - Instrumental,SHINee,M,254373.0,11.0,1.0,4.0,0.939,0.365,0.231,0.887,0.13,-13.391,0.0319,0.0439,133.734,20.0
한마디 Beautiful Life - Instrumental,SHINee,M,265760.0,2.0,1.0,4.0,0.368,0.611,0.539,0.844,0.0959,-9.73,0.0332,0.253,91.998,19.0
Rescue - Instrumental,SHINee,M,200267.0,10.0,0.0,4.0,2.57e-05,0.872,0.6,0.217,0.112,-7.934,0.0337,0.246,100.011,18.0
If You Love Her - Instrumental,SHINee,M,249816.0,3.0,1.0,4.0,0.985,0.713,0.195,0.914,0.188,-14.221,0.0479,0.251,96.048,20.0
Prism,SHINee,M,191567.0,11.0,0.0,4.0,0.284,0.652,0.885,0.0,0.184,-3.148,0.071,0.888,138.055,28.0
1 of 1,SHINee,M,203885.0,5.0,0.0,4.0,0.0635,0.694,0.879,0.0,0.0478,-3.765,0.0515,0.84,108.045,32.0
Feel Good,SHINee,M,219813.0,8.0,1.0,4.0,0.156,0.639,0.724,0.0,0.0639,-5.47,0.184,0.382,109.854,27.0
투명 우산 Don't Let Me Go,SHINee,M,223352.0,7.0,1.0,4.0,0.156,0.605,0.919,0.0,0.671,-3.659,0.0579,0.789,92.016,36.0
Lipstick,SHINee,M,214662.0,1.0,1.0,4.0,0.296,0.698,0.816,0.0,0.121,-5.375,0.0672,0.552,97.009,23.0
Don't Stop,SHINee,M,245107.0,8.0,1.0,4.0,0.229,0.785,0.653,4.73e-05,0.0867,-7.726,0.0664,0.698,114.933,26.0
SHIFT,SHINee,M,182001.0,0.0,0.0,4.0,0.116,0.731,0.875,0.0,0.663,-4.689,0.0487,0.698,124.973,26.0
U Need Me,SHINee,M,210296.0,1.0,1.0,4.0,0.0134,0.631,0.814,0.0,0.0703,-3.936,0.317,0.899,109.604,22.0
So Amazing (Special Track),SHINee,M,217396.0,2.0,1.0,4.0,0.0521,0.672,0.881,0.0,0.227,-3.343,0.0569,0.838,110.001,23.0
Prism,SHINee,M,191567.0,11.0,0.0,4.0,0.284,0.652,0.885,0.0,0.184,-3.148,0.071,0.888,138.055,42.0
1 of 1,SHINee,M,203885.0,5.0,0.0,4.0,0.0635,0.694,0.879,0.0,0.0478,-3.765,0.0515,0.84,108.045,49.0
Feel Good,SHINee,M,219813.0,8.0,1.0,4.0,0.156,0.639,0.724,0.0,0.0639,-5.47,0.184,0.382,109.854,40.0
투명 우산 Don’t Let Me Go,SHINee,M,223352.0,7.0,1.0,4.0,0.156,0.605,0.919,0.0,0.671,-3.659,0.0579,0.789,92.016,40.0
Lipstick,SHINee,M,214662.0,1.0,1.0,4.0,0.296,0.698,0.816,0.0,0.121,-5.375,0.0672,0.552,97.009,32.0
Don’t Stop,SHINee,M,245107.0,8.0,1.0,4.0,0.229,0.785,0.653,4.73e-05,0.0867,-7.726,0.0664,0.698,114.933,37.0
SHIFT,SHINee,M,182001.0,0.0,0.0,4.0,0.116,0.731,0.875,0.0,0.663,-4.689,0.0487,0.698,124.973,39.0
U Need Me,SHINee,M,210296.0,1.0,1.0,4.0,0.0134,0.631,0.814,0.0,0.0703,-3.936,0.317,0.899,109.604,30.0
So Amazing (Special Track),SHINee,M,217396.0,2.0,1.0,4.0,0.0521,0.672,0.881,0.0,0.227,-3.343,0.0569,0.838,110.001,31.0
"SHINee, In the House - Live",SHINee,M,96440.0,8.0,1.0,4.0,0.553,0.553,0.903,0.00353,0.402,-4.696,0.071,0.342,100.014,25.0
Sherlock - SHINee WORLD 4 Version / Live,SHINee,M,251400.0,1.0,1.0,4.0,0.0117,0.607,0.97,0.0,0.777,-3.696,0.125,0.218,107.031,28.0
SHINe (Medusa Ⅰ) - SHINee WORLD 4 Version / Live,SHINee,M,225547.0,5.0,0.0,4.0,0.149,0.63,0.918,0.0,0.54,-3.711,0.0504,0.37,101.015,23.0
낯선자 Stranger - SHINee WORLD 4 Version / Live,SHINee,M,230253.0,9.0,0.0,4.0,0.0304,0.621,0.945,0.0,0.453,-4.163,0.0623,0.37,127.968,31.0
Picasso - Korean Version / Live,SHINee,M,228333.0,0.0,1.0,4.0,0.0055,0.534,0.955,0.0,0.871,-4.38,0.113,0.281,128.05,24.0
산소 같은 너 Love Like Oxygen - Live,SHINee,M,185093.0,5.0,1.0,4.0,0.0851,0.633,0.932,0.0,0.978,-3.615,0.103,0.661,98.307,23.0
Your Name - Live,SHINee,M,117493.0,7.0,1.0,4.0,0.177,0.57,0.737,1.1e-06,0.911,-5.323,0.0317,0.534,89.995,21.0
Your Number - Korean Version / SHINee WORLD 4 Version / Live,SHINee,M,297827.0,10.0,0.0,4.0,0.00557,0.658,0.945,2.32e-06,0.92,-4.626,0.149,0.709,101.018,22.0
사.계.한 Love Should Go On - SHINee WORLD 4 Version / Live,SHINee,M,107853.0,5.0,1.0,4.0,0.471,0.588,0.915,0.0,0.934,-4.113,0.29,0.285,99.906,21.0
사.계.후 Love Still Goes On - SHINee WORLD 4 Version / Live,SHINee,M,122387.0,7.0,1.0,4.0,0.107,0.609,0.936,0.0,0.936,-3.067,0.087,0.473,114.93,21.0
닫아줘 Close the Door - Live,SHINee,M,239427.0,4.0,1.0,3.0,0.268,0.663,0.674,1.79e-06,0.706,-6.716,0.0321,0.412,94.486,20.0
알람시계 (Alarm Clock) - SHINee WORLD 4 Version / Live,SHINee,M,285840.0,5.0,0.0,4.0,0.0438,0.662,0.896,1.54e-05,0.847,-5.912,0.0658,0.541,94.016,21.0
Excuse Me Miss - SHINee WORLD 4 Version / Live,SHINee,M,287613.0,7.0,1.0,4.0,0.0557,0.675,0.904,0.0,0.918,-4.184,0.122,0.54,92.942,37.0
1분만 One Minute Back - Live,SHINee,M,224120.0,8.0,1.0,4.0,0.0471,0.605,0.935,0.0,0.309,-4.574,0.148,0.461,96.997,20.0
Colorful - Live,SHINee,M,243707.0,2.0,1.0,4.0,0.0367,0.619,0.983,0.0,0.829,-4.509,0.133,0.491,122.048,21.0
JoJo - Live,SHINee,M,216840.0,2.0,0.0,4.0,0.083,0.678,0.942,0.0,0.838,-5.196,0.0583,0.691,126.046,26.0
Love Sick - Live,SHINee,M,199333.0,1.0,1.0,4.0,0.267,0.649,0.901,0.0,0.659,-4.829,0.0636,0.579,98.981,20.0
하나 One - Live,SHINee,M,215747.0,10.0,1.0,4.0,0.524,0.585,0.593,0.0,0.272,-5.909,0.0324,0.478,128.015,22.0
버리고 가 Better Off - Live,SHINee,M,245227.0,5.0,1.0,4.0,0.108,0.629,0.752,0.0,0.697,-6.899,0.051,0.381,85.004,21.0
너의 노래가 되어 An Ode To You - Live,SHINee,M,257193.0,4.0,1.0,4.0,0.75,0.507,0.289,0.0,0.386,-9.82,0.0296,0.121,87.925,21.0
WOWOWOW - Live,SHINee,M,193373.0,9.0,1.0,4.0,0.0651,0.707,0.867,0.0,0.923,-4.386,0.134,0.553,91.899,20.0
Woof Woof - SHINee WORLD 4 Version / Live,SHINee,M,265560.0,7.0,1.0,4.0,0.0241,0.634,0.951,0.0,0.854,-4.085,0.113,0.539,117.935,20.0
Dream Girl - SHINee WORLD 4 Version / Live,SHINee,M,69827.0,11.0,0.0,4.0,0.07,0.74,0.976,0.0,0.764,-4.232,0.297,0.406,124.053,21.0
Runaway - SHINee WORLD 4 Version / Live,SHINee,M,133467.0,7.0,1.0,4.0,0.237,0.687,0.916,0.0,0.394,-3.889,0.0676,0.404,125.947,19.0
Ready or Not - SHINee WORLD 4 Version / Live,SHINee,M,160240.0,4.0,0.0,4.0,0.0286,0.645,0.96,0.0,0.933,-4.476,0.069,0.578,128.032,22.0
아름다워 Beautiful - SHINee WORLD 4 Version / Live,SHINee,M,56040.0,7.0,1.0,4.0,0.0273,0.547,0.962,0.0,0.947,-3.405,0.0836,0.291,127.87,26.0
3 2 1 - Korean Version / Live,SHINee,M,213307.0,3.0,1.0,4.0,0.0305,0.608,0.953,0.0,0.957,-4.363,0.107,0.59,148.033,20.0
Nightmare - SHINee WORLD 4 Version / Live,SHINee,M,218827.0,8.0,1.0,4.0,0.00622,0.646,0.944,0.0,0.858,-3.452,0.124,0.295,119.975,20.0
다이너마이트 Dynamite - SHINee WORLD 4 Version / Live,SHINee,M,225813.0,1.0,1.0,4.0,0.0271,0.683,0.94,0.0,0.336,-3.526,0.0671,0.383,125.032,23.0
Everybody - SHINee WORLD 4 Version / Live,SHINee,M,269147.0,5.0,0.0,4.0,0.00611,0.592,0.957,0.0,0.954,-4.18,0.122,0.404,125.982,25.0
View - Live,SHINee,M,188467.0,6.0,0.0,4.0,0.0367,0.652,0.921,0.0,0.345,-5.14,0.0521,0.645,123.963,23.0
Lucky Star - Korean Version / Live,SHINee,M,202987.0,5.0,0.0,4.0,0.0822,0.672,0.974,0.0,0.911,-4.735,0.0609,0.857,120.049,19.0
재연 An Encore - Live,SHINee,M,254867.0,3.0,1.0,4.0,0.143,0.575,0.762,0.0,0.945,-5.338,0.0313,0.315,117.969,23.0
Your Number - Korean Version / Bonus Track / Studio Version,SHINee,M,259067.0,3.0,1.0,4.0,0.0107,0.673,0.88,0.0,0.123,-4.069,0.149,0.847,101.02,23.0
Picasso - Korean Version / Bonus Track / Studio Version,SHINee,M,230147.0,0.0,1.0,4.0,0.00785,0.505,0.94,0.0,0.213,-3.469,0.135,0.481,127.956,22.0
Lucky Star - Korean Version / Bonus Track / Studio Version,SHINee,M,202416.0,8.0,1.0,4.0,0.0873,0.66,0.939,0.0,0.316,-3.166,0.0889,0.936,120.046,21.0
D×D×D,SHINee,M,207080.0,7.0,1.0,4.0,0.00739,0.748,0.82,0.0,0.084,-3.531,0.0626,0.781,127.975,29.0
Wishful Thinking,SHINee,M,192347.0,11.0,0.0,4.0,0.0341,0.542,0.924,0.0,0.239,-2.604,0.379,0.689,185.945,23.0
WANTED,SHINee,M,197387.0,6.0,1.0,4.0,0.00108,0.617,0.921,0.0,0.123,-2.669,0.0603,0.918,82.017,24.0
BOYS WILL BE BOYS,SHINee,M,237800.0,10.0,0.0,4.0,0.0258,0.493,0.891,0.0,0.113,-2.867,0.236,0.736,188.117,23.0
View - Japanese ver.,SHINee,M,192773.0,11.0,0.0,4.0,0.118,0.51,0.817,0.0,0.0419,-3.597,0.0548,0.671,123.964,26.0
Your Number,SHINee,M,259013.0,0.0,0.0,4.0,0.0144,0.708,0.91,0.0,0.0761,-3.221,0.119,0.766,100.997,29.0
Good Good Feeling,SHINee,M,225880.0,8.0,1.0,4.0,0.0114,0.711,0.883,0.0,0.0119,-2.86,0.044,0.833,113.994,24.0
Photograph,SHINee,M,194173.0,4.0,1.0,4.0,0.00655,0.624,0.952,7.55e-06,0.216,-2.99,0.0685,0.905,158.937,24.0
Sweet Surprise,SHINee,M,214587.0,9.0,1.0,4.0,0.0826,0.573,0.667,0.0,0.26,-6.089,0.0494,0.516,82.973,24.0
Sing Your Song,SHINee,M,244880.0,0.0,1.0,4.0,0.206,0.634,0.81,0.0,0.0659,-3.593,0.0499,0.836,150.083,26.0
Moon Drop,SHINee,M,220240.0,5.0,1.0,4.0,0.0399,0.537,0.573,0.0,0.114,-4.914,0.0286,0.4,74.999,27.0
LOVE,SHINee,M,261067.0,5.0,1.0,4.0,0.329,0.517,0.638,0.0,0.313,-4.039,0.0319,0.526,147.966,29.0
Married To The Music,SHINee,M,214689.0,10.0,0.0,4.0,0.107,0.729,0.869,0.0,0.0721,-3.24,0.0994,0.889,114.995,50.0
SAVIOR,SHINee,M,233346.0,4.0,0.0,4.0,0.0386,0.719,0.795,0.0,0.0989,-3.828,0.0531,0.653,128.03,37.0
Odd Eye,SHINee,M,201449.0,5.0,0.0,4.0,0.364,0.634,0.709,3.67e-06,0.151,-6.131,0.0942,0.424,136.088,29.0
Love Sick,SHINee,M,200182.0,1.0,1.0,4.0,0.241,0.699,0.792,0.0,0.136,-4.627,0.0445,0.686,98.979,27.0
View,SHINee,M,190821.0,6.0,0.0,4.0,0.04,0.728,0.801,0.0,0.0415,-4.428,0.0439,0.656,123.953,31.0
Romance,SHINee,M,216009.0,6.0,1.0,4.0,0.00689,0.652,0.863,0.0,0.104,-4.854,0.0749,0.905,123.943,25.0
Trigger,SHINee,M,241833.0,7.0,1.0,4.0,0.0288,0.676,0.922,0.0,0.092,-2.693,0.115,0.721,139.991,24.0
이별의 길 Farewell My Love,SHINee,M,240934.0,6.0,1.0,4.0,0.032,0.616,0.551,0.0,0.101,-5.61,0.0293,0.294,129.876,25.0
너의 노래가 되어 An Ode To You,SHINee,M,257756.0,4.0,1.0,4.0,0.529,0.317,0.265,0.0,0.35,-9.81,0.037,0.179,175.332,25.0
Hold You,SHINee,M,216642.0,5.0,1.0,4.0,0.187,0.601,0.825,0.0,0.115,-3.082,0.0909,0.404,91.968,30.0
Alive,SHINee,M,185319.0,7.0,1.0,4.0,0.00981,0.556,0.835,0.0,0.192,-3.245,0.141,0.683,74.941,23.0
Woof Woof,SHINee,M,196610.0,5.0,0.0,4.0,0.00437,0.676,0.92,0.0,0.44,-3.353,0.0553,0.749,117.933,24.0
Chocolate,SHINee,M,251581.0,9.0,0.0,4.0,0.0552,0.687,0.713,0.0,0.343,-3.605,0.212,0.891,95.105,30.0
Black Hole,SHINee,M,172395.0,0.0,0.0,4.0,0.183,0.671,0.957,0.0,0.263,-3.006,0.0452,0.895,117.062,24.0
재연 An Encore,SHINee,M,244998.0,3.0,1.0,4.0,0.0983,0.538,0.762,0.0,0.0862,-4.051,0.0292,0.23,118.05,26.0
Odd Eye,SHINee,M,201449.0,5.0,0.0,4.0,0.364,0.634,0.709,3.67e-06,0.151,-6.131,0.0942,0.424,136.088,43.0
Love Sick,SHINee,M,200182.0,1.0,1.0,4.0,0.241,0.699,0.792,0.0,0.136,-4.627,0.0445,0.686,98.979,41.0
View,SHINee,M,190821.0,6.0,0.0,4.0,0.04,0.728,0.801,0.0,0.0415,-4.428,0.0439,0.656,123.953,62.0
Romance,SHINee,M,216009.0,6.0,1.0,4.0,0.00689,0.652,0.863,0.0,0.104,-4.854,0.0749,0.905,123.943,37.0
Trigger,SHINee,M,241833.0,7.0,1.0,4.0,0.0288,0.676,0.922,0.0,0.092,-2.693,0.115,0.721,139.991,36.0
이별의 길 Farewell My Love,SHINee,M,240934.0,6.0,1.0,4.0,0.032,0.616,0.551,0.0,0.101,-5.61,0.0293,0.294,129.876,38.0
너의 노래가 되어 An Ode To You,SHINee,M,257756.0,4.0,1.0,4.0,0.529,0.317,0.265,0.0,0.35,-9.81,0.037,0.179,175.332,34.0
Alive,SHINee,M,185319.0,7.0,1.0,4.0,0.00981,0.556,0.835,0.0,0.192,-3.245,0.141,0.683,74.941,30.0
Woof Woof,SHINee,M,196610.0,5.0,0.0,4.0,0.00437,0.676,0.92,0.0,0.44,-3.353,0.0553,0.749,117.933,37.0
Black Hole,SHINee,M,172395.0,0.0,0.0,4.0,0.183,0.671,0.957,0.0,0.263,-3.006,0.0452,0.895,117.062,37.0
재연 An Encore,SHINee,M,244998.0,3.0,1.0,4.0,0.0983,0.538,0.762,0.0,0.0862,-4.051,0.0292,0.23,118.05,42.0
Code to SHINee WORLD,SHINee,M,76294.0,7.0,0.0,4.0,0.00279,0.327,0.891,0.949,0.416,-8.817,0.0462,0.059,119.493,19.0
Spoiler,SHINee,M,218560.0,2.0,1.0,4.0,0.0207,0.541,0.913,0.0,0.893,-4.027,0.116,0.214,105.018,23.0
Evil,SHINee,M,210773.0,10.0,0.0,4.0,0.0913,0.729,0.915,1.17e-06,0.822,-4.476,0.0608,0.513,124.969,30.0
Nightmare,SHINee,M,222133.0,8.0,1.0,4.0,0.0355,0.646,0.869,0.0,0.695,-4.07,0.0753,0.503,119.973,24.0
Heart of Darkness,SHINee,M,23400.0,8.0,1.0,4.0,0.078,0.223,0.716,0.985,0.431,-8.979,0.0841,0.128,115.049,0.0
줄리엣 Juliette,SHINee,M,207160.0,7.0,1.0,4.0,0.0718,0.6,0.932,0.0,0.971,-3.823,0.12,0.395,109.109,26.0
Lucifer,SHINee,M,239533.0,9.0,1.0,4.0,0.00326,0.701,0.961,9.57e-06,0.497,-5.256,0.0443,0.487,125.012,53.0
Like a Fire,SHINee,M,232387.0,1.0,1.0,4.0,0.112,0.654,0.846,0.0,0.804,-4.243,0.059,0.717,122.061,28.0
Dream Girl,SHINee,M,200933.0,9.0,1.0,4.0,0.0121,0.615,0.927,0.0,0.65,-4.205,0.221,0.334,124.048,26.0
히치하이킹 Hitchhiking,SHINee,M,251560.0,10.0,0.0,4.0,0.00421,0.65,0.916,0.0,0.683,-3.474,0.0399,0.502,108.989,23.0
"Girls, Girls, Girls",SHINee,M,183413.0,2.0,1.0,4.0,0.128,0.637,0.888,0.0,0.395,-5.106,0.284,0.681,172.238,22.0
빗 속 뉴욕 Queen of NewYork,SHINee,M,200693.0,6.0,0.0,4.0,0.0301,0.697,0.924,0.0,0.954,-4.432,0.0914,0.541,117.988,21.0
방백 Aside,SHINee,M,227813.0,1.0,1.0,4.0,0.0537,0.697,0.837,0.0,0.672,-4.052,0.0537,0.449,99.985,22.0
떠나지 못해 Sleepless Night,SHINee,M,284547.0,7.0,1.0,4.0,0.78,0.289,0.301,0.0,0.899,-10.149,0.0419,0.259,74.306,28.0
오르골 Orgel,SHINee,M,208013.0,9.0,0.0,4.0,0.23,0.799,0.562,0.0,0.376,-8.409,0.0284,0.619,105.016,25.0
상사병 Symptoms,SHINee,M,234479.0,0.0,0.0,4.0,0.0299,0.579,0.728,0.0,0.569,-4.748,0.0513,0.382,119.975,25.0
Kiss Yo,SHINee,M,252013.0,4.0,0.0,4.0,0.0173,0.556,0.966,0.0,0.362,-4.643,0.221,0.291,159.994,19.0
START,SHINee,M,233293.0,8.0,1.0,4.0,0.0391,0.7,0.752,0.0,0.803,-4.679,0.0604,0.439,125.005,19.0
